x,y_obs,y_calc,y_bkg,struct_Li3PO4,struct_LiFePO4
74.1,0.03,0.02,-0.0,0.0,0.02
74.15,0.03,0.02,-0.0,0.0,0.03
74.2,0.04,0.03,-0.0,0.0,0.03
74.25,0.04,0.03,-0.0,0.0,0.03
74.3,0.04,0.03,-0.0,0.0,0.03
74.35,0.04,0.03,-0.0,0.0,0.03
74.4,0.03,0.02,-0.0,0.0,0.03
74.45,0.03,0.02,-0.0,0.0,0.02
74.5,0.02,0.02,-0.0,0.0,0.02
74.55,0.02,0.02,-0.0,0.0,0.02
74.6,0.01,0.02,-0.0,0.0,0.02
74.65,0.01,0.02,-0.0,0.0,0.02
74.7,0.01,0.02,-0.0,0.0,0.02
74.75,0.01,0.02,-0.0,0.0,0.02
74.8,0.02,0.03,-0.0,0.0,0.03
74.85,0.02,0.03,-0.0,0.0,0.03
74.9,0.03,0.04,-0.0,0.0,0.04
74.95,0.05,0.04,-0.0,0.0,0.04
75.0,0.06,0.05,-0.0,0.0,0.05
75.05,0.08,0.06,-0.0,0.0,0.06
75.1,0.09,0.06,-0.0,0.0,0.06
75.15,0.1,0.06,-0.0,0.0,0.07
75.2,0.1,0.07,-0.0,0.0,0.07
75.25,0.09,0.06,-0.0,0.0,0.07
75.3,0.08,0.06,-0.0,0.0,0.06
75.35,0.06,0.06,-0.0,0.0,0.06
75.4,0.05,0.05,-0.0,0.0,0.05
75.45,0.04,0.05,-0.0,0.0,0.05
75.5,0.03,0.04,-0.0,0.0,0.04
75.55,0.03,0.04,-0.0,0.0,0.04
75.6,0.03,0.04,-0.0,0.0,0.04
75.65,0.03,0.03,-0.0,0.0,0.03
75.7,0.02,0.03,-0.0,0.0,0.03
75.75,0.02,0.03,-0.0,0.0,0.03
75.8,0.02,0.02,-0.0,0.0,0.03
75.85,0.02,0.02,-0.0,0.0,0.02
75.9,0.02,0.02,-0.0,0.0,0.02
75.95,0.02,0.02,-0.0,0.0,0.02
76.0,0.02,0.02,-0.0,0.0,0.02
76.05,0.02,0.02,-0.0,0.0,0.02
76.1,0.02,0.02,-0.0,0.0,0.03
76.15,0.02,0.03,-0.0,0.0,0.03
76.2,0.03,0.03,-0.0,0.0,0.03
76.25,0.03,0.03,-0.0,0.0,0.03
76.3,0.04,0.03,-0.0,0.0,0.03
76.35,0.04,0.03,-0.0,0.0,0.03
76.4,0.04,0.03,-0.0,0.0,0.03
76.45,0.04,0.03,-0.0,0.0,0.03
76.5,0.03,0.03,-0.0,0.0,0.03
76.55,0.03,0.03,-0.0,0.0,0.03
76.6,0.03,0.02,-0.0,0.0,0.03
76.65,0.02,0.02,-0.0,0.0,0.02
76.7,0.02,0.02,-0.0,0.0,0.02
76.75,0.02,0.02,-0.0,0.0,0.02
76.8,0.02,0.02,-0.0,0.0,0.02
76.85,0.02,0.02,-0.0,0.0,0.02
76.9,0.02,0.02,-0.0,0.0,0.02
76.95,0.02,0.02,-0.0,0.0,0.02
77.0,0.02,0.01,-0.0,0.0,0.01
77.05,0.01,0.01,-0.0,0.0,0.01
77.1,0.01,0.01,-0.0,0.0,0.01
77.15,0.01,0.01,-0.0,0.0,0.01
77.2,0.01,0.01,-0.0,0.0,0.01
77.25,0.01,0.01,-0.0,0.0,0.01
77.3,0.01,0.01,-0.0,0.0,0.01
77.35,0.01,0.01,-0.0,0.0,0.01
77.4,0.01,0.01,-0.0,0.0,0.01
77.45,0.0,0.01,-0.0,0.0,0.01
77.5,0.0,0.01,-0.0,0.0,0.01
77.55,0.0,0.01,-0.0,0.0,0.01
77.6,0.0,0.01,-0.0,0.0,0.01
77.65,0.0,0.01,-0.0,0.0,0.01
77.7,0.0,0.01,-0.0,0.0,0.01
77.75,0.0,0.01,-0.0,0.0,0.01
77.8,0.01,0.01,-0.0,0.0,0.01
77.85,0.01,0.01,-0.0,0.0,0.01
77.9,0.01,0.01,-0.0,0.0,0.01
77.95,0.01,0.02,-0.0,0.0,0.02
78.0,0.01,0.02,-0.0,0.0,0.02
78.05,0.02,0.02,0.0,0.0,0.02
78.1,0.02,0.03,0.0,0.0,0.03
78.15,0.03,0.03,0.0,0.0,0.03
78.2,0.03,0.03,0.0,0.0,0.03
78.25,0.04,0.04,0.0,0.0,0.04
78.3,0.05,0.04,0.0,0.0,0.04
78.35,0.05,0.04,0.0,0.0,0.04
78.4,0.06,0.05,0.0,0.0,0.05
78.45,0.06,0.05,0.0,0.0,0.05
78.5,0.07,0.05,0.0,0.0,0.05
78.55,0.07,0.05,0.0,0.0,0.05
78.6,0.07,0.05,0.0,0.0,0.05
78.65,0.07,0.05,0.0,0.0,0.05
78.7,0.07,0.05,0.0,0.0,0.05
78.75,0.06,0.05,0.0,0.0,0.04
78.8,0.05,0.04,0.0,0.0,0.04
78.85,0.04,0.04,0.0,0.0,0.04
78.9,0.04,0.03,0.0,0.0,0.03
78.95,0.03,0.03,0.0,0.0,0.03
79.0,0.02,0.03,0.0,0.0,0.03
79.05,0.02,0.02,0.0,0.0,0.02
79.1,0.01,0.02,0.0,0.0,0.02
79.15,0.01,0.02,0.0,0.0,0.02
79.2,0.01,0.01,0.0,0.0,0.01
79.25,0.01,0.01,0.0,0.0,0.01
79.3,0.01,0.01,0.0,0.0,0.01
79.35,0.01,0.01,0.0,0.0,0.01
79.4,0.01,0.01,0.0,0.0,0.01
79.45,0.0,0.01,0.0,0.0,0.01
79.5,0.0,0.01,0.0,0.0,0.01
79.55,0.0,0.01,0.0,0.0,0.0
79.6,0.0,0.01,0.0,0.0,0.0
79.65,0.0,0.0,0.0,0.0,0.0
79.7,0.0,0.0,0.0,0.0,0.0
79.75,0.0,0.0,0.0,0.0,0.0
79.8,0.0,0.0,0.0,0.0,0.0
79.85,0.0,0.0,0.0,0.0,0.0
79.9,0.0,0.0,0.0,0.0,0.0
79.95,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0,0.0
80.05,0.0,0.0,0.0,0.0,0.0
80.1,0.0,0.0,0.0,0.0,0.0
80.15,0.0,0.0,0.0,0.0,0.0
80.2,0.0,0.0,0.0,0.0,0.0
80.25,0.0,0.0,0.0,0.0,0.0
80.3,0.0,0.01,0.0,0.0,0.0
80.35,0.0,0.01,0.0,0.0,0.0
80.4,0.0,0.01,0.0,0.0,0.01
80.45,0.01,0.01,0.0,0.0,0.01
80.5,0.01,0.01,0.0,0.0,0.01
80.55,0.01,0.01,0.0,0.0,0.01
80.6,0.01,0.01,0.0,0.0,0.01
80.65,0.01,0.01,0.0,0.0,0.01
80.7,0.02,0.01,0.0,0.0,0.01
